label,review
1,晒一下我在办公室养的“绿毛龟”，没想到，只三天就长这么大了。[哈哈][嘻嘻] 我在:http://t.cn/zTKrg7w
1,[good][鼓掌]如果某一天深夜，在人流已变得稀少的地铁车厢里能碰到中国爱乐、国交等乐队室内乐组合的真人快闪演出，那就更好了。
1,时间好快，年年陪在我身边过生日的人今年似乎没几个了，但收到了祝福，谢谢。尤其是@富贵儿后妈 ，快当妈了，明年抱着娃来！[爱你]
1,要不要这么丰盛啊~[嘻嘻]
1,//@全球顶尖创意家居: 每一款都炫到爆了！太给力了，大赞，超喜爱，爱名车的朋友都看过来！[给力][爱你]
1,[哈哈][哈哈][哈哈]肥猫
1,[哈哈][哈哈][哈哈]男！盆！友！必！须！会！拍！照！//@妖妖小精-色系军团: 笑尿了……[哈哈][哈哈][哈哈]
1,要圆满了。[鼓掌]
1,嗯，拍得真心好！谢谢大家都喜欢这段“奇途”[太开心]//@占夏CurlyQ:拍得真好，书摘也好_(:з」∠)_ 旅行书太多了，但是?那件疯狂的小事叫旅行?还是比较特别的。
1,#冬宫赏画#荷兰著名画家伦勃朗的《花神》，画家把自己的妻子代入花神flora的角色，原来我们经常用的英文名flora就是花神[嘻嘻] 我在:http://t.cn/zlaEVJB
1,#正宗凉茶王老吉2013四川卫视青春正能量跨年演唱会#在帅气的青鸟飞鱼之后，就是我们四川卫视原创大型节目「天籁之音中国藏歌会」的优秀选手专场啦[威武]漂亮的@天籁之音莫斯满 @达娃卓玛86 帅气的@南卡泽王 @四郎贡布 @泽绒翁登 @康巴人组合 ！不错哦[馋嘴][爱你][给力]@中国藏歌会
1,回复@Nicole的生活书:你随便拿一本两三百块钱的摄影画册放边上比较，你就知道电子社下手重到啥程度了…//@Nicole的生活书:回复@大卫独夫DE吴志伟: [哈哈][哈哈][哈哈]这是重到什么程度！
1,现在房价离合理距离很远//@中山大学深圳校友会:这价格老合理了。[哈哈]
1,请大家帮忙转！[心]//@我在村里叫小方:欢迎热衷于移动互联网开发的同学加入我们！//@葛永昌Gary: 弹性工作制哦，睡过头不担心！[哈哈] 亲们，这是一家奖励上班时间逛淘宝的公司，还等什么？[爱你] @张冉cindy: 11月10日南大招聘会，在江苏省高校就业指导服务中心 南京市上海路203号等你们[围观]
1,感谢你和@杨庚皆喜结婚网 今天成为东城民政局最闹腾的俩二货[哈哈]感谢胡同里给我们让路的蹬三轮老大爷[哈哈]祝福所有爱我们的我们爱的所有人[心]沾沾喜气，祝你们赶紧找到自己的另一半[心]
1,"钥匙可以万能,为啥锁不能万能?有歧视锁的嫌疑!!![哈哈]"
1,可爱，有创意~~ 给朋友送礼物的时候不错的选择[太开心] 爱你的咖啡豆24
1,[给力][鼓掌] //@旅游信徒万一伟: ＂成熟在逆境，醒悟在绝境，在逆境中抓住背后的机遇，在绝境中创造奇迹。＂[赞][顶]
1,王林大师啊，放了那条大蟒蛇，得闲做点好事吧。//@点子正:与右边同求，但不准右边侮辱SB。[哈哈]//@深夜走过长安街:王林大师啊，求您发功把这傻B隔空戳死吧！
1,期待[爱你]美景，美人，美衣裳[嘻嘻]祝走秀成功[鼓掌][好喜欢]
1,#带着微博去旅行#沼津港海鲜大餐走起，这地方是东京人周末吃海鲜的地方，海鲜馆子一条街，还有个类似筑地市场的批发市场，都是刚打上来的鱼虾，直接刺身了，那条金钼鱼的做法很中国，再加点醋就是糖醋鱼了[嘻嘻]。 我在:http://t.cn/z8xL9xR
1,[爱你]亲爱的，我也吃多了！[哈哈]今天早上护国寺小吃吃了云吞4只，螺丝转火烧一个，桂花饼半个，椰丝红豆饼半个，茶叶蛋一个，牛奶半杯。[泪]
1,不就根儿烟嘛，抠门 //@高晓攀:你俩就是豁子吃肉，肥也别说肥！ // @百变连旭 :我擦！！有我嘛事儿//  @嘻哈包袱铺陈曦  :我就想问问   @高晓攀    我这照片你那来的？我都没有！还有，就是谁爱曾人烟抽了啊？那是老连！ //   @happy微笑心   :[嘻嘻]
1,为梦想而奋斗，小伙伴们，都辛苦了！！[爱你]
1,一只美丽的小花儿，很美丽的小花儿[哈哈][?你]
1,高端大气上档次 有木有[哈哈]@MiRa_静
1,骗纸，肉哪有走的时候[泪] //@哚莱咪小姐:肉来的时候按斤来，走的时候按两走。@YO_伊古比古@深?D皓 //@烫手糖三角:回复@大胃ET:来的时候按斤算，走的时候按两走[偷笑][偷笑] 太经典了[哈哈][哈哈][哈哈]@我不想当死胖子@vinniee@bonjour_洁宝
1,生日快乐亲爱的，你是俺们心中永远的快乐男高音歌唱家[鼓掌][蛋糕][亲亲]
1,北京的说自己是北京人，通州的说自己是通县人，西宁的说自己是西宁人，这个村子...说自己是哪的人？[嘻嘻][嘻嘻][嘻嘻] 我在:http://t.cn/zTL067S
1,哈哈哈...今年我们一定要旺旺旺...[嘻嘻][嘻嘻][嘻嘻]
1,从来没看过这么清楚的阿凡达[吃惊][吃惊][吃惊]！原来有这么多鲜艳的颜色，比IMAX还清晰，色彩还丰富，终于体会到这部全世界票房最高的电影真正价值了！！@RT白小宅 @日成哥 看大片，过大年！[鼓掌][鼓掌][鼓掌]
1,真呀么真开心[哈哈][哈哈][哈哈][哈哈][哈哈]
1,#亲爱的书友#这是今天原本要到场分享的一位书友的读后感[鼓掌]欢迎各位亲爱的书友们，把自己的读后感写下来发给我们，可以发布在我们的官网“黑玛亚花园”里与更多的书友分享：）
1,坚持！加油！//@朵朵开素食: 常来，哈哈！ //@怂的载体:回复@黑茶女王:济南新收获[嘻嘻] //@黑茶女王:[爱你][爱你][爱你][爱你]
1,伊朗人的水炮 要坐着试呦[哈哈][哈哈][哈哈][哈哈][哈哈]
1,同名同姓的文章，误杀[晕]//@咸鱼的行摄生活:@长富牛奶 文章帮你免费做广告啦[哈哈]瞬间全国爆红，跟进撒[偷笑]百年一遇的机会[挖鼻屎]
1,@崔浩波 昨晚说好的下载[嘻嘻]
1,新的一年，新的梦游，下一站：雪国哈尔滨等我[太开心]
1,#昆仑饭店玻璃屋# 即将竣工开业的14个KTV包间[鼓掌][酷]
1,[哈哈]//@Meteorasy:错了，是一个品牌和一堆手机的竞争。//@朱思行:一款手机和一堆品牌的竞争。
1,[鼓掌] 运气降临吧。。。。呵呵
1,#异地闺蜜# #异地闺蜜，还记得我们一起吃过的美食吗？石磨庐山石鸡，“色泽深黄，肉质细嫩，香味浓郁，口味甚醇”好怀念~[太开心]
1,//@金陵连锁酒店: #金陵微分享#感谢您的厚爱和好评，欢迎你光临@南京金陵饭店 品尝金陵盐水鸭，祝您生活愉快哟[给力][心][太开心]@途秀
1,谢谢亲的鼓励。好下饭的菜，我也吃点再走吧![嘻嘻]
1,特别希望看到一些人们成功的创业故事。比如像创造互联网营销神话的煎饼果子“黄太吉”，把煎饼店经营出时尚范儿，还有免费WIFI。这种就特别吸引人。在实际生活中，我可以非常近距离地去体验这种很成功的创业商家的产品和服务。【刚才忘了@好友，不好意思，现在@他】[可爱]@晓龙1
1,很文艺的名称“时光绘”。但颜色搭配感觉有点怪。//@安可LC: 终于可以对外发声了~~[可爱]
1,一个卖鸡肉[哈哈]一个卖鸭肉[ali哇]。假如回到明朝，肯德基肯定和便宜坊是一对。[吃惊]那麦当劳怎么办[生病][生病][生病]
1,[嘻嘻] //@出版人七七未央:[笑哈哈][笑哈哈]
1,呀！anja多好听的名字！ 真好！//@人字拖公主anja: 像久违的雨后日芒突然爆发灵魂深处的光亮 瞬间唤起对尘世的热爱//@央吉玛: 是：黑暗是光明来临之前的一道光明哈！[爱你]
1,小佰也想去尼泊尔呢！感受一下幸福！！[亲亲]//@Belle喜欢关东煮: 还是想去尼泊尔。。
1,感谢亲选择我们举办会议并晒图[可爱]假日酒店始终致力于为您提供满意服务[心]欢迎常常光顾～
1,ICS上海外语频道《独立探店报告》年度颁奖礼即将在朗廷扬子火热上演！@ICS独立探店报告 期待……[鼓掌]
1,[哈哈]//@北京吉版图书: //@过行客: //@雨枫书馆:须叔[威武][心]//@须叔: 哇！为石田衣良《掌心迷路》 写的书评出版了[给力]《迷失掌心――享受生活之外的吉光片羽（图）》作者：须叔 [爱你]@七曜教主_私家侦探 @康慨 @空心乱晃//@熊紫新: 好样的！！[赞]品味盈实//@小编刘颖: @须叔
1,#极地新年嘉年华#各种水母，太可爱啦[爱你]@武汉海昌极地海洋世界 @湖北旅游 @auv张君雅小妹妹 @好木望夏
1,这套很典雅！[鼓掌]@贵总管
1,造型清新，用着也赏心悦目，是不错的选择[哈哈] //@TheVeggieTable吃素的:[哈哈][威武]
1,总算搞定了！唉唉唉唉~~~~~~~吃一亏长一堑 以后做事情还是要考虑周全一点！[衰][衰] 有失必有得！新工作加油吧！[太开心][太开心]
1,"今晚19点我将再次做客@新疆949交通广播 晚间王牌节目《开心路路通》,与主持人@949电台航志 及“联防大姐”为大家带来周末好心情...期待您的收听~天气渐凉,大家出门要穿厚点哦,其实胖人还是有好处的,这么冷的天,我现在出门连秋裤都没穿都不觉得冷...省钱啊~[嘻嘻] 微电台在线收听:http://t.cn/SLM1nu"
1,"独家报道: 来到酒店入住的客人,可获得惊喜欢迎礼品奥,以下都是独家创意....[太开心]@Virginia于沛辰"
1,[阳光]如果你有梦想的话，就要去捍卫它。当别人做不到什么的时候，他们就想要告诉你，你也不能。如果你想要与众不同，你就得去努力争取。和奋斗在工作岗位上的“小蜜蜂”们共勉～[可爱]
1,应该做一个青岛到银川的旅游线路[嘻嘻]
1,"回复@悟空sir:哈哈,这就是礼物啊，送“开心”给大家么 //@悟空sir:下次可以发gif嘛[嘻嘻]"
1,[嘻嘻]真好。让那些狩猎者去死吧。[怒]
1,蛤蜊民谣[嘻嘻] //@学徒王自健:越南民谣教父… //@第二班--徐强:还港式民谣呢！ //@顶马苏勇:泰式民谣[嘻嘻]//@第二班--徐强: 京式民谣？谁给起的这名词？能换换不。。。
1,[花心][花心] //@--IAmWhatIAm: 上海桔子水晶出品――女王的盛宴[嘻嘻]
1,不懂的人好好学学“十八大”是什么意思！//@谢文://@米鹤都: //@贺延光:[哈哈]拍马的是蠢驴！//@宋小鲁: 没有政治常识的僵尸粉！你让组织情何以堪？哈哈！
1,[哈哈]//@设计老铁:[哈哈]
1,"中国马来西亚商会2012年度盛会现场,马来西亚大使及夫人在众嘉宾的陪同下,伴着小野丽沙的Rasa Sayang歌声就座!一会儿还会有马航北京吉隆坡往返机票抽奖哦![鼓掌]"
1,[大巴]  周末一早，好心情呀，好心情~[太开心]
1,诚招资深前端开发工程师[嘻嘻]//@最后的Q版:前些日子还因为ie的不兼容导致样式出问题被老板骂了，你说我一主作后端的没对应的人搞前端我兼着做做也不容易啊。。。。憋屈。。。。// @Mars100 :赶紧自动吧// @高祯祥 : ie6早就可以被淘汰了[酷]// @互联网的那点事 :网站开发人员你们可以笑了...
1,laksa用的是细米粉和油面拼配，不喜欢油面碱水清油味的可以让师傅少放点。传统用粗米粉，但我更喜欢细米粉，挂得住味哈。最棒laksa？还没尝试那袋百胜厨世界第一泡面前，暂不定论哈[嘻嘻]
1,一起吃饭才吃得香嘛[嘻嘻]~~~
1,女39 大红 快来一双老板[嘻嘻]
1,各位看官较着可以非诚勿扰不[偷笑][太开心]来呀来呀，扰啊扰啊[偷笑]
1,[偷笑] 节目之外的大厨更nice~~[鼓掌]期待今晚的顶厨第二季[花心]//@刘一帆Steven:美食就在你身?
1,没问题，Q上留地址，5号立刻寄。//@家有Summer: 要签名杂志哈哈 //@凤凰生活杂志郭蔷:爱尤，大脸的姨们真好[爱你]。//@丛虫时移事往: 大脸的二姨扑上~~[微风]//@凤凰生活杂志郭蔷: 谢谢大脸它姨。[嘻嘻]//@家有Summer: [围观][威武] //
1,就要回北京了，吃早餐时想起念@DAZZLINGCAFE玳思琳 的下午茶，蜜糖吐司果然是名媛最爱，还好有朋友帮忙订位吃到上海没有的新款式噢[哈哈]蜜糖快来北京开店吧[害羞]
1,他就是下蛋的人，哈哈//@新梦回大唐: 见过能辩的，没见过这么能辩的！[挖鼻屎]//@二炮的微博: 厂家够腐[哈哈]
1,回复@李晓军-城市与乡村观察:有眼力哦！[嘻嘻] 谢谢关注！ //@李晓军-城市与乡村观察:小灯泡设计挺好！！！赞一个！！！[赞][威武][话筒] @卜潢信河 @冰凌8023 @尔东凯
1,【#我爱满堂彩#――精彩不断的抢先看】高三的功课压力比山大[委屈] @Shavenss魔风  的鸭梨解冻法就是变魔术！[鼓掌] 变走分数，变走堆积如山的试卷，变走少年的烦恼[威武] 变回自信，变回快乐，变回美好的中学生活[兔子] 少年，加油！[赞] [赞]   http://t.cn/8Fxb6vx
1,开心时刻，与你同行！[爱你][爱你][爱你]
1,回复@乌实: 应该是的，再向@Mexico墨西哥旅游 求证下-此音乐画面是否为墨西哥。BTW，我看到最多的是那美女。[哈哈] //@乌实:@DCwhenwho 画面是墨西哥吧？ //@乌实:人是自然的一部分。如果人与自然走向对立，这个世界就不再美丽。
1,回复@SalsaYoYo:[哈哈]太美了，昨晚我们看到还讨论了下[偷笑]@CCCCCCCCi_ci //@SalsaYoYo:不敢放在圈里在这里留存的都被你看到啦[挖鼻屎][害羞][嘻嘻][嘻嘻]
1,回复@Maggie静静要逆生长:快闪[偷笑][偷笑][冰棍][冰棍]小盆友节日快乐 //@Maggie静静要逆生长:我要瘦瘦，闪电，和你一样? //@Maggie静静要逆生长:嘿嘿?儿童节快乐?要逆生长逆生长?[爱你][爱你][爱你]
1,回复@川豪麻辣香锅:[馋嘴]小编最爱吃鸡翅了。中午谁一起去吃啊[哈哈] //@川豪麻辣香锅:美味鸡翅，欢迎大家品尝哦。@畅春园食街
1,托妞就是一颗福星！[爱你][爱你][爱你]
1,[鼓掌]春节日本旅游走起[飞机]
1,给力 ，期待。。//@张何:[鼓掌]物联网(二维码识别应用)与移动互联网结合的新营销方式。
1,[哈哈][哈哈][哈哈]可爱 //@微博经典语录:笑死我了[哈哈][哈哈]
1,网络营销越来越重要![嘻嘻] //@中国网络传播学会:【小蜜蜂早班车】 //@财新网:转发微博
1,#办公室咖啡#法压壶终于到了。。。曼特宁的豆子味道出不来，不过终于在办公室喝到咖啡了[爱你]@17C咖啡网 @快乐森活
1,//@AlleN毅_ShaW:[嘻嘻]
1,饭后走着回家 多散会步哈 百步走活到99！[嘻嘻]
1,双鱼真好！[哈哈] //@苏释SUSU:双鱼TMD超级好~我中意这句话呀[害羞]
1,回复@坏蛋378:出来的效果不是很自然 //@坏蛋378:回复@编辑郭强:跟胶卷有关，跟影像无关。[嘻嘻] //@坏蛋378:转发微博
1,请不要说我胖， 请说我像球一样可爱~~~[哈哈]
1,又上活了？！ //@刘铨淼:红白事[爱你][爱你][爱你][爱你][爱你][爱你]
1,求助@一个卤蛋儿 ，四季酒店的专家[太开心] //@爱美食的设计师_紫林轩主人:柳树叶也能吃，介绍下做法 //@嗜吃慧:腌的芹菜？
1,回复@沸腾渔府:美女，最好是床本身自带的为妙！[哈哈][哈哈][哈哈] //@沸腾渔府:带美女不[偷笑][偷笑][偷笑] //@马剑是谁:回复@魔鬼的大哥:现在的梦想是有张床[偷笑]  //@魔鬼的大哥:马师傅的梦想是什么？
1,@麦斯蒙市场咨询 鸡心领儿。你懂的！[偷笑][鼓掌]
1,卖萌才是终极归宿~~~@Gal白 //@雷狗童: 桌面都是各种你，这个封面用了很久//@新周猫: 回复@fourbrain:俺可以请哇，你确定要吃？ //@fourbrain:[哈哈]恭喜哟~~请吃猫粮哟~~~ //@新周猫:请热烈、紧张、肉紧滴围观！感谢国家，感谢CCAV，感谢围脖儿，感谢俺滴所有粉丝，感谢所有同事，俺，上封面鸟！
1,[嘻嘻] //@宁财神:[哈哈]//@孟非: 简直就是微型小说[哈哈]//@黛粉焉知墨:爸，真是你啊？对不起！[巨汗]//@Y头老爹:我是张――继――洪！！！！//@黛粉焉知墨: 我还是你妈呢！[右哼哼]//@Y头老爹:我是你爸！//@黛粉焉知墨: SB！我学不学习关你毛事？你以为你是谁？！ //@Y头老爹:别胡乱来！好好学习！
1,我做嗒！[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][偷笑][偷笑][偷笑][偷笑][偷笑]
1,深井冰欢乐多系列连载 [哈哈]每日一弹之第95弹[耶]
1,开始修仙吧[嘻嘻]
1,#龙顺庄园# 的一锅出，大盆鱼吃起啊！[哈哈] http://t.cn/zWXmWXG
1,一步步来。。先能不熬夜再做其他滴。。 //@大美日月山wen:要有度。。[嘻嘻]//@游局网shapple:今晚尝试时间段。。[哈哈] zao//@胡同印的胡爷:@游局网shapple
1,额娘好想她呀！！美子~~[哈哈][赞]
1,下雨天，听林非的节目什么的最温馨啦！[嘻嘻]@DJ林非
1,有，乐不思蜀。//@姿颖的微博:[哈哈]【宜家靠迷路创造60%冲动购物】你有没有过这种感受呢？